#SN		Galaxy			Vr(hel)	Mbhost	DM		error	NaDEW	Av		error	t_0		error	type	tpT		error	t_tran	error	t_end	error	max		error	Mmax	error	end		error	Mend	error	tail	error	Mtail	error	s1		error	s2		error	s3		error	Nimass	lerror	herror	Pd		error	OPTd	error		sstart		send		s3start
2002ew	anon			8982	INDEF	35.38	0.08	0.00	0.00	0.07	52500.5	10		N		INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	-17.42	0.08	-17.42	0.11	-14.95	0.08	-14.95	0.12	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	3.58	0.06	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	52528.4		52572.7		INDEF
2002fa	NEAT J205221.51	18000	INDEF	36.92	0.04	0.00	INDEF	INDEF	52503.5	7		S		INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	-16.95	0.04	INDEF	INDEF	-16.65	0.04	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	1.58	0.10	INDEF	INDEF	0.0657*	INDEF	INDEF	INDEF	INDEF	67.29	8.19    	52528.5		52568.6		INDEF
2002gd	NGC 7537		2676	-19.82	32.50	0.28	0.00	0.00	0.06	52552.5	4		S		INDEF	INDEF	52583	0.8		INDEF	INDEF	-15.43	0.28	-15.43	0.29	-14.85	0.28	-14.85	0.29	INDEF	INDEF	INDEF	INDEF	2.87	0.25	0.11	0.05	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	52568.5		52615.7		INDEF
2002gw	NGC 922			3084	-20.81	32.98	0.23	0.00	0.00	0.05	52559.5	5		S		52661.2	0.8		INDEF	INDEF	52641.8	4.3		-15.76	0.23	-15.76	0.24	-15.48	0.23	-15.48	0.24	-13.07	0.23	-13.07	0.24	INDEF	INDEF	0.30	0.03	0.75	0.09	0.0122	0.0030	0.0040	INDEF	INDEF	82.33	6.56    	52567.7		52625.8		52694.5
2002hj	NPM1G +04.0097	7080	INDEF	34.87	0.10	0.00	0.00	0.11	52562.5	7		N		52661.8	0.8		INDEF	INDEF	52652.7	4.3		-16.91	0.10	-16.91	0.16	-16.03	0.10	-16.03	0.16	-13.59	0.10	-13.59	0.16	INDEF	INDEF	1.92	0.03	1.41	0.01	0.0257*	INDEF	INDEF	INDEF	INDEF	90.24	8.19    	52585.6		52649.8		52672.6
2002hx	PCG 23727		9300	INDEF	35.59	0.07	0.00	0.00	0.23	52582.5	9		N		52658.9	0.8		INDEF	INDEF	52650.5	4.3		-17.00	0.07	-17.00	0.25	-16.36	0.07	-16.36	0.25	-14.60	0.07	-14.60	0.25	INDEF	INDEF	1.54	0.04	1.24	0.04	0.0537	0.0160	0.0229	INDEF	INDEF	68.03	9.95    	52596.7		52645.9		52665.7
2002ig	anon			23100	INDEF	37.47	0.03	0.00	INDEF	INDEF	52572.5	4		S		INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	-17.66	0.03	INDEF	INDEF	-16.76	0.03	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	2.73	0.11	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	52585.6		52625.7		INDEF
2003B	NGC 1097		1272	-21.42	31.11	0.28	0.53	0.18	0.09	52616.5	11		S		52713.8	0.9		INDEF	INDEF	52699.6	4.3		-15.36	0.28	-15.54	0.30	-15.11	0.28	-15.29	0.30	-12.77	0.28	-12.95	0.30	INDEF	INDEF	0.65	0.03	1.07	0.03	0.0166	0.0057	0.0089	INDEF	INDEF	83.19	11.79   	52645.6		52694.7		52734.5
2003bl	NGC 5374		4377	-20.62	34.02	0.14	0.00	0.00	0.27	52699.5	3		S		52804.5	0.2		52720.6	7.4		52792.3	4.3		-15.35	0.14	-15.35	0.31	-15.01	0.14	-15.01	0.31	INDEF	INDEF	INDEF	INDEF	1.05	0.35	0.24	0.04	INDEF	INDEF	INDEF	INDEF	INDEF	71.69	8.55	92.81	5.20    	52701.4		52789.8		INDEF
2003bn	2MASX J10023529	3831	-17.68	33.79	0.16	0.00	0.00	0.07	52694.5	3		N		52813.7	0.7		52733.6	2.5		52787.4	4.3		-16.80	0.16	-16.80	0.18	-16.34	0.16	-16.34	0.18	-13.72	0.16	-13.72	0.18	0.93	0.06	0.28	0.04	INDEF	INDEF	0.0413*	INDEF	INDEF	53.87	4.97	92.97	5.20    	52704.5		52777.7		INDEF
2003ci	UGC 6212		9111	-21.86	35.56	0.07	0.00	INDEF	INDEF	52711.5	8		N		52817.7	1.0		INDEF	INDEF	52804.0	4.3		-16.83	0.07	INDEF	INDEF	-15.70	0.07	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	1.79	0.04	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	92.53	9.06    	52733.6		52797.6		INDEF
2003cn	IC 849			5433	-20.46	34.48	0.11	0.00	0.00	0.12	52719.5	4		S		52804.2	0.3		INDEF	INDEF	52787.3	4.3		-16.26	0.11	-16.26	0.17	-15.61	0.11	-15.61	0.17	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	1.43	0.04	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	67.80	5.84    	52733.8		52782.8		INDEF
2003cx	NEAT J135706.53	11100	INDEF	35.96	0.06	0.00	0.00	0.17	52728.5	5		S		52828.5	0.8		INDEF	INDEF	52816.3 4.3		-16.79	0.06	-16.79	0.18	-16.38	0.06	-16.38	0.19	-14.32	0.06	-14.32	0.19	INDEF	INDEF	0.76	0.03	INDEF	INDEF	0.0512*	INDEF	INDEF	INDEF	INDEF	87.82	6.56    	52739.8		52814.7		INDEF
2003dq	anon			13800	INDEF	36.44	0.06	0.00	INDEF	INDEF	52731.5	8		N		INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	-16.69	0.06	INDEF	INDEF	-15.69	0.06	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	2.50	0.19	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	52754.5		52794.6		INDEF	
2003E	MCG -4-12-004	4470	-19.73	33.92	0.15	1.31	INDEF	INDEF	52634.5	7		S		52765.7	0.8		INDEF	INDEF	52731.9	4.3		-15.70	0.15	INDEF	INDEF	-15.48	0.15	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	-0.07	0.03	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	97.42	8.19    	52648.6		52710.8		INDEF
2003ef	NGC 4708		4440	-20.60	34.08	0.14	1.70	INDEF	INDEF	52759.5	9		S		52869.9	0.6		INDEF	INDEF	52850.4	4.3		-16.72	0.14	INDEF	INDEF	-16.15	0.14	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	0.81	0.02	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	90.93	9.95    	52772.6		52845.7		INDEF
2003eg	NGC 4727		4388	-22.26	34.23	0.13	1.86	INDEF	INDEF	52773.5	5		S		INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	-17.81	0.13	INDEF	INDEF	-14.57	0.13	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	2.93	0.04	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	52782.6		52871.6		INDEF
2003ej	UGC 7820		5094	-20.14	34.36	0.12	0.00	0.00	0.09	52775.5	5		N		INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	-17.66	0.12	-17.66	0.16	-15.66	0.12	-15.66	0.16	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	3.46	0.05	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	68.97	6.56    	52782.5		52841.6		INDEF
2003fb	UGC 11522		5262	-20.92	34.43	0.12	0.00	INDEF	INDEF	52776.5	6		S		52874.4	0.6		INDEF	INDEF	52860.7	4.3		-15.56	0.12	INDEF	INDEF	-15.25	0.12	INDEF	INDEF	-13.10	0.12	INDEF	INDEF	INDEF	INDEF	0.48	0.06	1.61	0.39	0.0166*	INDEF	INDEF	INDEF	INDEF	84.27	7.35    	52797.7		52851.8		52879.6
2003gd	M74				657		-20.58	29.93	0.40	0.00	0.43	0.19	52767.5	15		S		52840.9	0.2		INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	-15.97	0.40	-16.40	0.44	-12.58	0.40	-13.01	0.45	INDEF	INDEF	INDEF	INDEF	1.03	0.04	0.0122	0.0060	0.0119	INDEF	INDEF	INDEF	INDEF   	INDEF		INDEF		52845.9
2003hd	MCG -04-05-010	11850	-21.73	36.00	0.06	0.00	0.00	0.19	52857.5	5		S		52952.9	1.2		INDEF	INDEF	52939.8	4.3		-17.29	0.06	-17.29	0.20	-16.72	0.06	-16.72	0.21	-13.85	0.06	-13.85	0.21	INDEF	INDEF	1.11	0.04	0.72	0.68	0.0294	0.0068	0.0089	INDEF	INDEF	82.39	6.56    	52866.7		52929.8		52966.7
2003hg	NGC 7771		4281	-21.35	33.65	0.16	3.03	INDEF	INDEF	52865.5	5		N		52998.6	1.1		52906.9	1.1 	52974.0 4.3		-16.38	0.16	INDEF	INDEF	-15.50	0.16	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	1.60	0.06	0.59	0.03	INDEF	INDEF	INDEF	INDEF	INDEF	67.07	4.41	108.50	6.56    	52871.6		52969.6		INDEF
2003hk	NGC 1085		6795	-21.34	34.77	0.10	0.00	INDEF	INDEF	52867.5	4		S		52961.2	1.6		INDEF	INDEF	52953.5	4.3		-17.02	0.10	INDEF	INDEF	-16.36	0.10	INDEF	INDEF	-13.14	0.10	INDEF	INDEF	INDEF	INDEF	1.85	0.06	0.40	0.66	0.0166*	INDEF	INDEF	INDEF	INDEF	86.00	5.84    	52902.7		52952.9		52972.7
2003hl	NGC 772			2475	-22.39	32.39	0.30	2.56	INDEF	INDEF	52868.5	5		N		53005.4	0.1		INDEF	INDEF	52977.4	4.3		-15.91	0.30	INDEF	INDEF	-15.23	0.30	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	0.74	0.01	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	108.92	6.56    	52879.8		52967.7		INDEF
2003hn	NGC 1448		1170	-21.06	31.15	0.10	0.42	0.37	0.10	52866.5	10		N		52963.7	0.1		INDEF	INDEF	52956.6	4.3		-16.74	0.10	-17.11	0.15	-15.96	0.10	-16.33	0.15	-13.27	0.10	-13.64	0.15	INDEF	INDEF	1.46	0.02	1.08	0.05	0.0347	0.0083	0.0109	INDEF	INDEF	90.10	10.87   	52879.8		52953.9		52987.8 
2003ho	ESO 235-G58		4314	-19.83	33.77	0.16	1.90	7.32	1.23	52847.5	7		S		52920.9	0.1		INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	-14.75	0.16	INDEF	INDEF	-12.00	0.16	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	1.69	0.10	0.0049*	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	INDEF		INDEF		52928.6
2003ib	MCG -04-48-15	7446	-20.81	34.97	0.09	0.00	0.00	0.28	52890.5	5		S		INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	-17.10	0.09	-17.10	0.30	-16.09	0.09	-16.09	0.30	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	1.66	0.05	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	52914.4		52966.7		INDEF
2003ip	UGC 327			5403	-19.38	34.20	0.13	0.39	0.13	0.08	52896.5	4		S		52997.6	0.1		INDEF	INDEF	INDEF	INDEF	-17.75	0.13	-17.88	0.15	-16.65	0.13	-16.78	0.16	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	2.01	0.03	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	80.74	5.84    	52915.6		52966.7		INDEF
2003iq	NGC 772			2475	-22.39	32.39	0.30	1.67	INDEF	INDEF	52919.5	2		N		53019.6	0.1		INDEF	INDEF	53004.4	4.3		-16.69	0.30	INDEF	INDEF	-16.18	0.30	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	0.75	0.03	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	84.91	4.70    	52928.6		52996.6		INDEF	
2003T	UGC 4864		8373	-20.83	35.37	0.08	0.00	INDEF	INDEF	52654.5	10		N		52758.7	0.6		INDEF	INDEF	52745.0	4.3		-16.54	0.08	INDEF	INDEF	-16.03	0.08	INDEF	INDEF	-13.67	0.08	INDEF	INDEF	INDEF	INDEF	0.82	0.02	2.02	0.14	0.0295*	INDEF	INDEF	INDEF	INDEF	90.59	10.87   	52668.6		52745.7		52764.5
2004dy	IC 5090			9352	-20.87	35.46	0.07	0.00	INDEF	INDEF	53241.0	3		N		53289.0	0.5		INDEF	INDEF	53265.9	4.3		-16.03	0.07	INDEF	INDEF	-16.02	0.07	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	0.09	0.14	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	24.96	5.20    	53250.5		53263.7		INDEF
2004ej	NGC 3095		2723	-21.55	33.10	0.21	0.43	0.14	0.07	53224.9	8		S		53338.7	0.6		INDEF	INDEF	53321.0	4.3		-16.62	0.21	-16.76	0.22	-16.13	0.21	-16.27	0.23	-12.92	0.21	-13.06	0.23	INDEF	INDEF	1.07	0.04	0.89	0.13	0.0185	0.0052	0.0072	INDEF	INDEF	96.14	9.06    	53263.8		53309.0		53345.8
2004er	MCG -01-7-24	4411	-20.20	33.79	0.16	0.76	0.34	0.17	53271.7	2		N		53429.6	2.5		53332.7	1.1		53391.9	4.3		-16.74	0.16	-17.08	0.24	-15.67	0.16	-16.01	0.24	INDEF	INDEF	INDEF	INDEF	1.28	0.03	0.40	0.03	INDEF	INDEF	INDEF	INDEF	INDEF	59.17	4.41	120.15	4.70    	53291.7		53373.7		INDEF
2004fb	ESO 340-G7		6100	-20.88	34.54	0.11	0.00	INDEF	INDEF	53242.5	4		S		INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	-16.19	0.11	INDEF	INDEF	-15.46	0.11	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	1.24	0.07	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	53299.5     53353.6		INDEF
2004fc	NGC 701			1831	-19.50	31.68	0.31	2.53	INDEF	INDEF	53293.5	1		N		53425.9	1.0		INDEF	INDEF	53398.5	4.3		-16.21	0.31	INDEF	INDEF	-15.41	0.31	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	0.82	0.02	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	106.06	4.37    	53300.6		53383.7		INDEF
2004fx	MCG -02-14-3 	2673	INDEF	32.82	0.24	0.00	0.00	0.10	53303.5	4		N		53407.3	0.5		INDEF	INDEF	53371.9	4.3		-15.58	0.24	-15.58	0.26	-15.33	0.24	-15.33	0.26	-12.87	0.24	-12.87	0.27	INDEF	INDEF	0.09	0.03	0.93	0.08	0.0144	0.0042	0.0060	INDEF	INDEF	68.41	5.84    	53321.8		53362.8		53417.6
2005af	NGC 4945		563		-20.54	27.75	0.36	0.00	0.00	0.12	53323.8	15		S		53434.7	0.2		INDEF	INDEF	53427.8	4.3		INDEF	INDEF	INDEF	INDEF	-14.94	0.36	-14.94	0.38	-13.41	0.36	-13.41	0.38	INDEF	INDEF	INDEF	INDEF	1.25	0.03	0.0264	0.0116	0.0206	INDEF	INDEF	104.01	15.59   	INDEF		INDEF		53444.8
2005an	ESO 506-G11		3206	-18.63	33.43	0.18	2.26	INDEF	INDEF	53428.7	4		S		INDEF	INDEF	53470.2	0.6		53506.4	4.3		-17.07	0.18	INDEF	INDEF	-15.89	0.18	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	3.34	0.06	1.89	0.05	INDEF	INDEF	INDEF	INDEF	INDEF	36.23	4.29	77.71	5.84    	53452.6		53491.8		INDEF
2005dk	IC 4882			4708	-19.81	34.01	0.14	1.13	INDEF	INDEF	53599.5	6		S		53702.8	0.4		53646.2	1.5		53683.7	4.3		-17.52	0.14	INDEF	INDEF	-16.74	0.14	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	2.26	0.09	1.18	0.07	INDEF	INDEF	INDEF	INDEF	INDEF	37.46	4.52	84.22	7.35    	53625.4		53673.6		INDEF
2005dn	NGC 6861		2829	-21.03	32.83	0.24	0.00	0.00	0.16	53601.5	6		S		53695.7	0.7		INDEF	INDEF	53681.3	4.3		-17.01	0.24	-17.01	0.29	-16.38	0.24	-16.38	0.29	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	1.53	0.02	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	79.76	7.35    	53625.5		53673.6		INDEF
2005dt	MCG -03-59-6	7695	-20.90	35.02	0.09	0.00	0.00	0.14	53605.6	9		N		53736.1	0.7		INDEF	INDEF	53718.5	4.3		-16.39	0.09	-16.39	0.17	-15.84	0.09	-15.84	0.17	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	0.71	0.04	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	112.86	9.95    	53625.5		53707.7		INDEF
2005dw	MCG -05-52-49	5269	-21.12	34.17	0.13	2.71	INDEF	INDEF	53603.6	9		N		53717.0	0.9		INDEF	INDEF	53696.2	4.3		-16.49	0.13	INDEF	INDEF	-15.61	0.13	INDEF	INDEF	-13.21	0.13	INDEF	INDEF	INDEF	INDEF	1.27	0.04	INDEF	INDEF	0.0211*	INDEF	INDEF	INDEF	INDEF	92.59	9.95    	53625.5		53684.6		INDEF
2005dx	MCG -03-11-9	8012	-20.79	35.18	0.08	0.00	0.00	0.28	53615.8	7		S		53719.7	0.8		INDEF	INDEF	53701.4	4.3		-16.05	0.08	-16.05	0.29	-15.24	0.08	-15.24	0.29	-12.12	0.08	-12.12	0.29	INDEF	INDEF	1.30	0.05	INDEF	INDEF	0.007*	INDEF	INDEF	INDEF	INDEF	85.59	8.19    	53625.8		53684.9		INDEF
2005dz	UGC 12717		5696	-19.85	34.32	0.12	0.00	0.00	0.12	53619.5	4		N		53730.0	0.6		53663.7	2.1		53701.3	4.3		-16.57	0.12	-16.57	0.17	-15.97	0.12	-15.97	0.17	-13.42	0.12	-13.42	0.18	1.31	0.08	0.43	0.04	INDEF	INDEF	0.0213*	INDEF	INDEF	37.63	4.76	81.86	5.84    	53633.7		53702.7		INDEF
2005es	MCG +01-59-79 	11287	-21.09	35.87	0.06	0.00	INDEF	INDEF	53638.6	5		N		INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	-16.98	0.06	INDEF	INDEF	-16.32	0.06	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	1.31	0.05	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	53650.5		53703.7		INDEF
2005gk	anon			8787	INDEF	35.36	0.08	0.00	INDEF	INDEF	INDEF	INDEF	INDEF	53728.5	0.7		INDEF	INDEF	53709.6	4.3		-16.44	0.08	INDEF	INDEF	-15.89	0.08	INDEF	INDEF	-13.56	0.08	INDEF	INDEF	INDEF	INDEF	1.25	0.07	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	53655.7		53703.8		INDEF
2005hd	anon			8778	INDEF	35.38	0.08	0.00	INDEF	INDEF	INDEF	INDEF	INDEF	53700.9	0.4		INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	-17.07	0.08	INDEF	INDEF	-15.02	0.08	INDEF	INDEF	INDEF	INDEF	1.23	0.13	1.17	0.06	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	53669.7		53683.9		53713.7
2005J	NGC 4012		4183	-20.41	33.96	0.14	0.60	0.22	0.30	53382.7	7		S		53496.6	0.7		53420.1	0.7		53476.8	4.3		-17.28	0.14	-17.50	0.33	-16.35	0.14	-16.57	0.33	INDEF	INDEF	INDEF	INDEF	2.11	0.07	0.96	0.02	INDEF	INDEF	INDEF	INDEF	INDEF	56.66	4.32	94.03	8.19    	53402.7		53468.7		INDEF
2005K	NGC 2923		8204	-19.63	35.33	0.08	0.00	INDEF	INDEF	53369.7			S		53446.6	4.3		INDEF	INDEF	53430.6	4.3		-16.57	0.08	INDEF	INDEF	-16.08	0.08	INDEF	INDEF	-13.22	0.08	INDEF	INDEF	INDEF	INDEF	1.67	0.13	2.15	0.71	0.0155*	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF   	53389.7		53430.8		53453.6
2005lw	IC 672			7710	INDEF	35.22	0.08	3.34	INDEF	INDEF	53716.8	10		S		53840.7	1.4		INDEF	INDEF	53824.0	4.3		-17.07	0.08	INDEF	INDEF	-15.47	0.08	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	2.05	0.04	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	INDEF	107.23	10.87   	53736.8		53809.8		INDEF
