Table 6
SN II V-band Light-curve Parameters

SN	DM	Explosion	t_PT	A_V(Host)	M_max	M_end	M_tail	s_1	s_2	s_3	OPTd	Pd	^56Ni Mass	
(mag)	Epoch (MJD)	(MJD)	(mag)	(mag)	(mag)	(mag)	(mag 100 day^-1)	(mag 100 day^-1)	(mag 100 day^-1)	(days)	(days)	( M_sun)	
1986L	31.72^1(0.20)	46708.0^n(6)	46818.4(0.6)	0.00(0.07)	-18.19(0.21)	-16.88(0.22)	-14.37(0.22)	3.32(0.16)	1.28(0.03)	 ... 	93.7(5)	59.2(4)	>0.061	
1991al	33.94(0.15)	48443.5^s(9)	48518.8(0.6)	0.11(0.07)	-17.62(0.17)	-17.14(0.17)	-14.82(0.17)	 ... 	1.55(0.06)	1.26(0.26)	 ... 	 ... 	0.067	
1992ad	31.13(0.80)	 ... 	 ... 	 ... 	-16.98*(0.80)	-16.13*(0.80)	 ... 	 ... 	2.23(0.04)	 ... 	 ... 	 ... 	 ... 	
1992af	34.33(0.12)	48791.5^s(6)	48861.1(0.4)	0.00(0.27)	-17.33(0.30)	-17.20(0.30)	-15.06(0.30)	 ... 	0.37(0.09)	1.07(0.08)	54.0(7)	 ... 	0.079	
1992am	36.42(0.05)	 ... 	48947.2(0.6)	 ... 	-18.06*(0.07)	-17.17*(0.08)	 ... 	 ... 	1.17(0.02)	 ... 	 ... 	 ... 	 ... 	
1992ba	30.41(0.80)	48888.5^s(8)	49014.0(1.2)	0.05(0.03)	-15.39(0.80)	-14.80(0.80)	-12.39(0.80)	 ... 	0.73(0.02)	0.86(0.07)	104.0(9)	 ... 	0.011	
1993A	35.44(0.07)	48995.5^n(9)	 ... 	 ... 	-16.44*(0.07)	-15.91*(0.07)	 ... 	 ... 	0.72(0.03)	 ... 	 ... 	 ... 	 ... 	
1993K	32.95(0.23)	49065.5^n(9)	 ... 	0.37(0.19)	-18.29(0.30)	-17.61(0.30)	 ... 	 ... 	2.46(0.08)	 ... 	 ... 	 ... 	 ... 	
1993S	35.60(0.07)	49130.5^s(4)	 ... 	0.00(0.24)	-17.52(0.25)	-16.29(0.26)	 ... 	 ... 	2.52(0.05)	 ... 	 ... 	 ... 	 ... 	
1999br	31.19(0.40)	51276.5^n(4)	 ... 	0.00(0.04)	-13.77(0.40)	-13.56(0.40)	 ... 	 ... 	0.14(0.02)	 ... 	 ... 	 ... 	>0.002	
1999ca	33.15(0.21)	51277.5^s(7)	51373.2(0.8)	0.26(0.15)	-17.74(0.26)	-16.86(0.26)	-14.04(0.26)	3.41(0.15)	1.73(0.04)	1.74(0.33)	80.5(8)	39.3(4)	>0.047	
1999cr	34.70(0.10)	51247.5^s(7)	51350.2(3.1)	0.30(0.15)	-17.20(0.19)	-16.53(0.19)	 ... 	1.80(0.06)	0.58(0.06)	 ... 	78.1(8)	41.4(4)	 ... 	
1999eg	34.75(0.10)	51440.5^s(7)	 ... 	 ... 	-16.86*(0.10)	-16.12*(0.10)	 ... 	 ... 	1.70(0.08)	 ... 	 ... 	 ... 	 ... 	
1999em	30.37^2(0.07)	51476.5^n(5)	51590.1(0.9)	0.18^a(0.06)	-16.94(0.10)	-16.55(0.10)	-14.11(0.10)	 ... 	0.31(0.02)	0.88(0.05)	96.0(7)	 ... 	0.050	
0210	36.58(0.04)	52489.5(9)^s	52591.9(0.3)	 ... 	-16.21*(0.04)	-15.90*(0.04)	 ... 	 ... 	2.21(0.08)	 ... 	90.6(10)	 ... 	 ... 	
2002ew	35.38(0.08)	52500.5^n(10)	 ... 	0.00(0.07)	-17.42(0.11)	-14.95(0.12)	 ... 	 ... 	3.58(0.06)	 ... 	 ... 	 ... 	 ... 	
2002fa	36.92(0.04)	52503.5^s(7)	 ... 	 ... 	-16.95*(0.04)	-16.65*(0.04)	 ... 	 ... 	1.58(0.10)	 ... 	67.3(8)	 ... 	>0.066	
2002gd	32.50(0.28)	52552.5^s(4)	 ... 	0.00(0.06)	-15.43(0.29)	-14.85(0.29)	 ... 	2.87(0.25)	0.11(0.05)	 ... 	 ... 	 ... 	 ... 	
2002gw	32.98(0.23)	52559.5^s(5)	52661.2(0.8)	0.00(0.05)	-15.76(0.24)	-15.48(0.24)	-13.07(0.24)	 ... 	0.30(0.03)	0.75(0.09)	82.3(6)	 ... 	0.012	
2002hj	34.87(0.10)	52562.5^n(7)	52661.8(0.8)	0.00(0.11)	-16.91(0.16)	-16.03(0.16)	-13.59(0.16)	 ... 	1.92(0.03)	1.41(0.01)	90.2(8)	 ... 	>0.026	
